Background	FLAGS	OMIM	HGMD	WES
PLXNB1		CTC1	RUNX1	
TRPM6		CYP27A1	CCDC40	
ZNFX1		PPT1	PRNP	
ABCA5		CTSD	SCN2A	
ABCB5		CTSF	NNT	
ABCC1		TPP1	TTC37	
CUX1		CLN3	FHL1	
LY75-CD302		DNAJC5	AGA	
NAV3		CLN5	SLC25A15	
SPTAN1		CLN6	MYCN	
TAS1R3		MFSD8	XPA	
CHD9		CLN8	ETHE1	
CHL1		ABHD5	FGD1	
CIT		TFAP2B	BSCL2	
DDX60L		DYNC1H1	RAB27A	
FLII		HSPB1	ARSE	
KIAA0100		GDAP1	GSS	
MAST2		HSPB8	ETFA	
MYH9		DNM2	TUBA1A	
NLRP12		AARS	SUMF1	
PPP1R26		YARS	FOXG1	
RGS3		MPZ	ALS2	
RRP12		INF2	UBR1	
SLC12A3		GNB4	FMO3	
ARHGEF10L		HOXD10	D2HGDH	
CGN		PLEKHG5	NHS	
DOCK2		KARS	SFTPC	
MSLN		PMP22	SMC1A	
MYH3		LITAF	RAD51C	
RPAP1		EGR2	LEMD3	
SLIT3		KIF1B	GLUD1	
TCF20		MFN2	SLC6A5	
TTC21B		MED25	AGPAT2	
WRN		GARS	COL6A3	
ATP13A5		MTMR2	KRT10	
CD109		SBF2	G6PC3	
FGD5		SH3TC2	ERCC5	
KIF1B		NDRG1	XK	
MAN2C1		PRX	KRT1	
NUP153		FGD4	BBS7	
PIKFYVE		GJB1	GNRHR	
PRX		LRSAM1	SEC63	
PTCH1		SH3BP2	FIG4	
PZP		PTPN14	CANT1	
REXO1		ABCB11	GHRHR	
RIMS2		ATP8B1	PEX12	
TAF1L		ABCB4	MLYCD	
ULK4		VIL1	GPI	
USP36		LIPA	CHAT	
ARHGEF40		ANKH	C7	
COL6A1		EBP	PRKCSH	
FBLN2		ARSE	STXBP2	
FUK		GNPAT	LHCGR	
HIVEP2		IMPAD1	OPTN	
LAMC2		HDAC6	GJA3	
LST3		EXT1	GDF5	
MAP3K15		TAF15	SALL4	
MICAL1		TFG	AMN	
PDE6B		NKX2-1	FXN	
PHLDB1		VPS13A	TTC21B	
PLCH2		PRPH2	VCP	
SHROOM2		CHM	INPPL1	
TNK2		MEF2C	ABHD5	
USP24		NCF1	TULP1	
ZNF106		NCF2	GP1BB	
ASCC3		CYBA	PNP	
CC2D2A		GPSM2	POU1F1	
DDX60		SAR1B	DUOX2	
GCC2		DNAI1	CYP11B2	
H6PD		RSPH4A	MERTK	
IGSF22		RSPH9	ANG	
ITPR2		CCDC39	IQCB1	
KIF17		CCDC40	SLC20A2	
SCNN1D		DNAL1	SFTPB	
SETD2		CCDC103	PNPLA2	
SMG6		HEATR2	PLCE1	
TAF1C		LRRC6	GALNT3	
TONSL		DNAAF3	FRAS1	
TPR		CCDC114	PCSK1	
WDR17		DRC1	ACTC1	
ZNF804B		ZMYND10	CYP19A1	
ANKRD12		ARMC4	ABCC2	
BCAR1		RSPH1	NCF1	
CNTNAP2		DYX1C1	APTX	
DUSP27		CCDC65	PHYH	
FANCI		SPAG1	RPGRIP1L	
FBF1		DNAH5	TACSTD2	
GEMIN4		HYDIN	ESCO2	
GTF3C1		NME8	TPM2	
IFT122		DNAH11	SLC17A5	
LMTK2		DNAI2	KIF7	
LRPPRC		PHKG2	DYM	
MAP2		CIRH1A	SLC52A3	
MYO3B		KRT18	NAGS	
PALM2-AKAP2		KRT8	KRT6A	
PI4KA		ASS1	EPG5	
SIPA1L2		SLC25A13	PC	
STON1-GTF2A1L		UBB	HFE	
TNS3		RUNX2	MEFV	
ULK1		PITX1	PRKCG	
ANKRD30A		ERCC8	VKORC1	
CAMTA1		CHUK	DEPDC5	
CPZ		COQ2	COL5A2	
FMN1		PDSS1	ABCG8	
LOXHD1		PDSS2	SCNN1B	
MCPH1		COQ9	OBSL1	
NOL6		COQ6	TARDBP	
PARD3B		RPS6KA3	GPC3	
PLEKHG6		SCN8A	ZMPSTE24	
POLRMT		VPS13B	PLOD1	
SETD1A		CLCF1	KDM5C	
TBC1D9B		CRLF1	MCOLN1	
ACAD10		SRC	SIL1	
ADCY10		PTPN12	KLHL40	
CCDC40		PTPRJ	ZFYVE26	
CIC		RAD54B	IL7R	
CIITA		OPN1SW	SF3B4	
COBL		BUB1	AMT	
GPR125		BAX	CASQ2	
IGHV2-70		MCC	DPAGT1	
KTN1		MSH2	IRAK4	
MAPKBP1		MLH1	SUOX	
MUC12		PMS2	MAX	
PER2		MSH6	MYH6	
PLA2G4F		TGFBR2	FANCC	
RADIL		MLH3	TNFRSF1A	
SHPK		EPCAM	GNS	
STK36		DLC1	SLC29A3	
TNN		AXIN2	BAG3	
UVSSA		BUB1B	ERCC8	
ADAM8		CTNNB1	CDH3	
AGBL1		DCC	NDUFV1	
BOC		EP300	FUCA1	
CACNA2D4		PDGFRL	CDAN1	
COL5A2		SLC25A1	ROBO3	
DEPDC5		PSAP	MPV17	
DNAH14		RAG2	SLC22A12	
DOCK7		LMAN1	POMC	
GEMIN5		LPL	LPIN1	
KAT6A		IL2RG	MKS1	
KIAA1009		ACSF3	CLN8	
KIF24		GFM1	EZH2	
MAGI1		MTO1	OXCT1	
MED16		RMND1	RAF1	
MIA3		EARS2	APOA5	
PEAK1		PNPT1	FKBP10	
PTPRN2		FARS2	CYP7B1	
ROBO1		MTFMT	AGK	
TTC21A		ELAC2	KIF5A	
ADCY7		SFXN4	DSG1	
AMZ1		MRPS16	WNT10A	
ATP9B		TSFM	POLR1D	
C20orf26		TUFM	PEX10	
CACNA1D		MRPS22	MTRR	
CR1		AIFM1	IFT140	
DOCK1		C12orf65	SRCAP	
GLI3		AARS2	GFPT1	
HEATR5B		MRPL3	TSPAN12	
IQGAP2		CFD	COL11A2	
ITGAD		CFI	ERCC4	
ITGAX		NDUFS6	HSD17B3	
LRIG1		PDE6C	TMPRSS3	
MED13		GUCA1A	PROKR2	
MSLNL		SEMA4A	STRA6	
NLRP2		PROM1	CETP	
NUP205		RPGRIP1	GPR56	
OSBPL5		CDHR1	AMHR2	
TMEM131		C8orf37	LBR	
AGL		RAB28	SMAD3	
AOX1		ABCA4	DOCK8	
ARID1B		PITPNM3	PAX9	
ATP8B4		GUCY2D	IGFALS	
CACNA1E		RIMS1	PPARG	
CECR2		ADAM9	DLL3	
CEP135		AIPL1	SERPINA7	
COL28A1		RPGR	BRIP1	
FPGT-TNNI3K		CRX	LIFR	
KIAA0195		CFTR	PIK3CA	
KIF13A		CTDP1	SCARB2	
KIF13B		SLC33A1	LPAR6	
NACA		MGAT2	CTC1	
RAB11FIP1		SLC35C1	PEPD	
RPGRIP1L		B4GALT1	PRSS1	
SCUBE1		COG7	A4GALT	
SORBS1		SLC35A1	LRRK2	
ADAMTS17		COG1	MTR	
CCDC158		COG8	GRM6	
DAAM2		COG5	TYRP1	
IKBKAP		COG4	WNT1	
KIF7		TMEM165	ACP5	
LMF2		COG6	ANKH	
MAP4		SLC35A2	BBS4	
MLH3		PMM2	F13B	
MYO1F		MPI	SPTA1	
NISCH		ALG6	FBP1	
NOTCH4		ALG3	TBX22	
NPC1		DPM1	CTSA	
NPHP3		MPDU1	ALB	
NPHS1		ALG12	TCN2	
PER3		ALG8	HEPACAM	
PHKB		ALG2	SDHA	
RAPGEF3		DPAGT1	CLRN1	
SPTBN4		ALG1	NPHP1	
TTLL5		ALG9	KIF11	
ZNF831		RFT1	GJB3	
C3		DPM3	MYH3	
CDAN1		ALG11	EDN3	
EXD3		SRD5A3	INVS	
EYS		DDOST	NLRP7	
GBF1		ALG13	MATN3	
KIDINS220		PGM1	MC1R	
KIF1A		DPM2	CHRNA1	
MAN2A2		ZIC3	TAT	
MICAL2		TAB2	GP9	
MYBPC2		HRAS	SLC6A19	
NFASC		CLMP	UBIAD1	
NLRC3		PLG	TTPA	
PPARGC1B		TBX1	KCNJ2	
PREX2		FBN2	PROP1	
RANBP17		PRRT2	NDUFS1	
RIMBP2		CPOX	ROR2	
SLC12A4		KERA	TFR2	
SPTBN1		COL8A2	DYNC1H1	
SSFA2		TGFBI	ECEL1	
SUN1		SLC4A11	HOXD13	
TNNI3K		ZEB1	ASAH1	
TTC37		AGBL1	RTEL1	
TTC7A		UBIAD1	SLC2A10	
TTF2		DCN	CACNA1H	
UNC13D		TACSTD2	SAMHD1	
ZNF335		VSX1	GIF	
ATP12A		PIKFYVE	MBTPS2	
BCL9		NIPBL	PDHX	
CACNA1F		RAD21	ZNF469	
CARD14		HDAC8	FAM20C	
DNAH12		IGBP1	CHRNG	
GON4L		TUBB3	LEPRE1	
KAT6B		KIF2A	MAPT	
KMT2E		TUBG1	CYP4V2	
LLGL1		CNTNAP2	CHKB	
MTUS2		LAMC3	MPI	
PAPPA		NR3C1	RBM20	
SBF2		H6PD	TUBB3	
SLC38A10		HSD11B1	PRG4	
TCF3		CYP2A6	RAI1	
URB2		TBX15	HADH	
ZNF236		SDHB	MSX1	
AP5Z1		KLLN	SUFU	
CASKIN2		SOST	GLRB	
CD36		IFT122	SLC25A38	
CNTLN		WDR35	KAT6B	
COL4A3		IFT43	POLR3B	
EVC		WDR19	SYNGAP1	
FLNA		TMCO1	KCNA1	
ITGA7		PAX3	PDE6C	
KIAA1755		EFNB1	LDHB	
LRRC16B		SEC23A	NCSTN	
LTBP4		HPGD	PDE4D	
NEBL		TCF12	ARID1B	
NUP160		ERF	TSEN54	
PARD3		IL11RA	BBS9	
SCN7A		CYP26B1	ATP13A2	
TBL3		TWIST1	PRPF8	
TIAM1		MSX2	SKI	
TPO		UGT1A1	ACVR1	
UNC5B		INSL3	TBX3	
USH1C		MNX1	PRX	
ANKRD27		ATR	B3GALT6	
ASTN2		ELN	TFAP2A	
COL19A1		FBLN5	TACR3	
COL4A4		EFEMP2	ALG1	
GPR123		LTBP4	FLVCR2	
HR		ATP6V0A2	GNPTG	
IARS		PYCR1	SLC6A3	
PLD2		ALDH18A1	NBN	
PRDM16		HBG2	RLBP1	
RUSC2		CTH	ACAD8	
SNED1		CTNS	PHKG2	
SORBS3		SLC3A1	TMEM127	
ANO2		SLC7A9	SLC25A1	
ATP11A		IDH2	ACOX1	
ATP13A4		D2HGDH	TRIM37	
CHD8		HSD17B4	HOGA1	
DFNB31		GLYCTK	DPYS	
ECE2		LIG1	HSD3B7	
EFCAB5		TOP1	IGF1R	
EIF4G1		TOP2A	TBX19	
ITPR1		TBC1D24	PAX8	
KCNH6		LAMP2	SERAC1	
MFI2		SLITRK6	HMGCS2	
N4BP2		TIMM8A	GNAL	
NLRP13		POU3F4	DNAI1	
PLEKHG4		SMPX	HESX1	
PML		DIAPH1	DNMT3B	
SPAG5		MYO7A	UBQLN2	
TET1		COL11A2	ALG6	
TRAPPC9		POU4F3	BARD1	
TRPM4		MYH9	MCFD2	
ANKMY1		MYO6	ADAMTSL4	
ATP10D		SLC17A8	SMCHD1	
BMP1		GRHL2	ZMYND10	
ESPL1		KCNQ4	KCNQ4	
FLT4		GJB3	ALG8	
HEATR4		TMC1	MANBA	
KIF16B		DSPP	FAN1	
MED13L		GJB6	TGFB2	
NEURL4		CRYM	SDCCAG8	
NLRX1		P2RX2	CRYAB	
NRDE2		CCDC50	LIPH	
PPRC1		MYO1A	FA2H	
PTPRG		MYH14	MAP2K2	
PTPRJ		CEACAM16	PYCR1	
SEMA5A		DFNA5	BMP4	
SIPA1L1		TNC	LCA5	
TJP2		TECTA	PFKM	
CDC42BPB		COCH	PIEZO1	
CHD3		CDH23	NSDHL	
CLSPN		GIPC3	SUCLG1	
CNTN6		STRC	NFIX	
CNTNAP4		USH1C	SLX4	
CR2		OTOG	CBL	
CTC1		OTOA	SMOC1	
GCNT2		PCDH15	ABCG5	
ITGA8		RDX	MTMR2	
ITGAE		GRXCR1	LRP4	
KDM6B		TRIOBP	COQ2	
MAN2A1		CLDN14	USH1C	
MAP3K6		MYO15A	LRRC6	
NOC2L		MYO3A	SERPINF1	
PCSK6		ESRRB	MRAP	
PIK3C2A		ESPN	HBG2	
PLEKHN1		HGF	SLC34A3	
POLR1A		SLC26A4	AMELX	
PTCHD2		ILDR1	FSHR	
PTPRU		CIB2	BCS1L	
STARD13		MARVELD2	FOXE3	
TCIRG1		TMIE	ABCC9	
TMEM2		SLC26A5	TUBB2B	
ZC3H13		LRTOMT	ILDR1	
ADAMTS2		LHFPL5	MAFB	
ADCY4		MSRB3	STS	
AFF1		SYNE4	TGIF1	
ANKRD35		LOXHD1	STAMBP	
CACNA1B		TPRN	HAX1	
COL4A1		TMPRSS3	REN	
DOT1L		PTPRQ	CPT1A	
ERN2		OTOGL	ACTG1	
FAM179A		SERPINB6	PKP1	
FRMPD2		CABP2	GJB6	
HECTD1		TSPEAR	CD36	
INSRR		FGF3	KRAS	
LDLR		BCAP31	TNNC1	
LIPE		PIEZO1	MFRP	
MASP1		HBB	NR3C1	
PLCG2		SNCA	SPR	
PLEKHA6		SNCB	RSPO4	
RBP3		ITM2B	WDR36	
TRAK1		MAPT	CHST14	
TSHZ2		GATA2	TBX1	
ABCC8		OCRL	TPM1	
AK9		CLCN5	ADAMTSL2	
ASTN1		ATN1	AK2	
CDHR5		SMOC2	DSG4	
COL11A2		WT1	PEX2	
GAS2L2		KRT14	C2orf71	
GPR116		CANT1	BUB1B	
GPR124		DHCR24	GALE	
HIP1R		DGCR2	CRYBB2	
IGHMBP2		AQP2	DHODH	
KIAA0586		AVPR2	CYP11A1	
KIF21B		AVP	NDUFS4	
MBTPS1		GCK	PRSS56	
MIS18BP1		INS	FAM83H	
MMRN1		HNF1A	CARD14	
MYCBPAP		INSR	C5	
MYO16		PAX4	ANKRD26	
NBEA		GLIS3	KCND3	
NCOR1		ABCC8	ZIC3	
NF1		HNF1B	CTRC	
OCA2		PTF1A	TTC8	
PDIA2		KCNJ11	SRD5A3	
PIWIL3		ZFP57	SYNE1	
PLCH1		AKT2	TRPC6	
PRG4		RPS19	GGCX	
RECQL5		RPS26	GIPC3	
TANC2		RPS17	TNFRSF13B	
TIE1		RPL35A	SCO2	
XRN1		RPL5	DGKE	
AKAP2		RPL11	FOXH1	
ARID2		RPS7	SCNN1G	
CRB1		RPS10	GJA5	
CRB2		RPS24	PGK1	
DSG1		BMPER	NLRP3	
ERBB3		ZFPM2	FYCO1	
FAM179B		MTAP	DFNB59	
FHDC1		SPINT2	ANGPTL3	
ITGA11		NEUROG3	EIF2B3	
JUP		GUCY2C	SLC12A6	
KIF1C		DLD	LTBP2	
KIF27		DPYS	NDUFS2	
MSH2		DMGDH	RAB23	
OGDHL		LRP2	RHAG	
PLEKHA7		DBH	LIG4	
PTK2B		ANKK1	DPY19L2	
PYGM		CFC1	TINF2	
RNF17		GDF1	SPATA7	
SRBD1		KRT5	EPOR	
TET3		POFUT1	KLF1	
THBS2		EFEMP1	PSAP	
TMPRSS15		SCN1A	TNFRSF11A	
TRAPPC10		CHN1	AAGAB	
UBR1		SALL4	RAD51D	
WDR27		ABCC2	DLD	
ZNF609		G6PC3	GNPAT	
BAZ2A		DYM	HPS5	
CCDC135		IKBKAP	CFP	
CDHR1		ABCB6	KLHL3	
CEP128		SEC23B	KCTD1	
COL1A1		CDAN1	HSPB1	
COL9A1		C15orf41	COL9A2	
FARP1		FGG	PTRF	
GRM6		DKC1	AP3B1	
KIAA0319		TINF2	KISS1R	
MCC		RTEL1	GORAB	
MCTP2		WRAP53	KRT17	
MTMR8		ADCY5	PARK7	
NIPBL		F2	MIP	
PHLPP2		HSPG2	EIF2B2	
PIEZO2		PRKRA	PEX26	
PLD1		ANO3	BMP15	
PMS2		GNAL	EXOSC3	
PPP2R3A		TUBB4A	AUH	
PSD3		THAP1	AMPD3	
PWP2		SLC2A1	CRTAP	
SGSM2		GCH1	TIMM8A	
TECPR1		SPR	GPIHBP1	
TECPR2		DRD2	KRT9	
TRPM3		DRD5	LDLRAP1	
UACA		SGCE	GYS2	
ALS2CL		TAF1	NRL	
ARID1A		COL7A1	PDX1	
ATP13A2		CHRM3	RAB3GAP2	
ATP1A4		EDAR	LRP2	
B4GALNT3		EDARADD	BBS5	
CAMSAP1		MSX1	GLI2	
DAGLB		KRT85	JUP	
DCC		HOXC13	CAT	
EGFLAM		NFKBIA	PIK3R1	
EIF2AK4		CDH3	ASXL1	
FAM135B		IKBKG	MOCS2	
FAM65C		PVRL4	DCAF17	
FLYWCH1		PKP1	SPINK1	
GAA		ADAMTSL4	KCNE1	
IFIH1		CYP2B6	KCNT1	
ITIH2		FKBP14	MYO6	
LOXL2		TNXB	FGD4	
LTN1		COL1A2	ENAM	
MOV10L1		CHST14	SNX10	
MYO19		B4GALT7	MSX2	
NLRP7		B3GALT6	VLDLR	
PDGFRB		COL5A1	EGLN1	
POLN		COL5A2	RPS26	
RAD50		COL3A1	STX11	
RNF123		PLOD1	MYH11	
ROBO4		ADAMTS2	IFNGR2	
SORCS2		EPB41	CFC1	
SUSD2		SPTA1	CRLF1	
SYNRG		EVC	DKC1	
THSD7B		EMD	SKIV2L	
TYK2		SYNE1	CLDN19	
YTHDC2		SYNE2	CRYGD	
ZFYVE16		FHL1	CRYAA	
BCLAF1		SERPINA1	PYGL	
C9orf84		DNM1L	NPC1L1	
CAND2		SERPINI1	WDR35	
CPNE7		ICK	FANCI	
CTBP2		MSH3	GATA5	
DISP2		CDH1	USH1G	
DOCK4		JAZF1	DDC	
DPYD		TLR4	RIT1	
EPHA1		COLQ	ERF	
ESPNL		FOXI1	SLC34A2	
FANCD2		KCNJ10	RP1L1	
HEPHL1		ENO1	MAP2K1	
ITIH6		EPX	SIX1	
KIAA1614		TMC6	FREM1	
KIF19		TMC8	NOTCH1	
NAV1		ITGB4	CYP24A1	
NEDD4		DST	SAR1B	
NFATC1		LAMA3	FANCB	
PHLDB2		LAMB3	TRMU	
PLEKHG1		LAMC2	ACTN4	
PMFBP1		COL17A1	HPSE2	
PRDM15		ITGA6	PIKFYVE	
QSER1		EXPH5	B4GALNT1	
ROR2		KRT1	NPC2	
SCAF11		KRT10	DNAAF1	
SLC26A1		SYN1	MEGF10	
TELO2		DEPDC5	NIPAL4	
TLL2		LGI1	RARS2	
UHRF1BP1		CPA6	ESRRB	
USP42		GRIN2A	IL10RB	
WNK4		GABRG2	COCH	
ALDH1L1		SCN9A	EPCAM	
ATP2A3		CHRNA4	ALOXE3	
BCAR3		CHRNB2	PLCB4	
BLM		KCNT1	LIPG	
CSPP1		CHRNA2	GCKR	
FRMD4B		CSTB	RFX6	
GLDC		PRICKLE1	SGCD	
ITGA10		EPM2A	PEX5	
KANK2		NHLRC1	GABRG2	
NES		KCTD7	CSTB	
PCDHA9		SCARB2	ETFB	
PEX1		PRICKLE2	SLC4A4	
PFKP		GOSR2	CHST3	
PXDN		ALDH7A1	PDE6A	
RAPGEF6		CHD2	TIMP3	
SPG7		ARX	HPS6	
SYCP2		PNKP	CDKN1B	
TJP1		SCN2A	OSMR	
UNC45A		PLCB1	LMBRD1	
ADAMTS3		ST3GAL3	PQBP1	
ARFGEF2		GNAO1	IGSF1	
ARVCF		SZT2	MEF2A	
BCOR		SLC25A22	GCM2	
C12orf55		STXBP1	MRE11A	
C6		SPTAN1	THBD	
CDH4		KCNQ2	EGR2	
CDON		ARHGEF9	HPGD	
CHD5		PCDH19	TTC7A	
CHPF2		COMP	PRKAG2	
COL1A2		COL9A2	GPR179	
CPSF1		COL9A3	ACAD9	
DDX54		MATN3	SLC9A6	
DNAAF1		COL9A1	CRYBB1	
DOPEY1		CACNA1A	SLC30A10	
FGD6		CACNB4	FGF3	
GANC		SLC1A3	KCTD7	
GIGYF1		KCNA1	CFB	
GLIS3		SCN10A	GNAT2	
HEATR6		SCN11A	SLC14A1	
KIAA1199		TRPA1	PNPO	
MAGEC1		TMLHE	APP	
MAP3K4		HBA1	C6	
MMEL1		SLC16A1	DMP1	
MSH3		HBA2	CFHR5	
NCAN		BPGM	HOXA13	
NPAP1		VHL	TPI1	
OAS3		EGLN1	EPB42	
PIDD		EPAS1	OPHN1	
PIGQ		JAK2	ELAC2	
PITRM1		SH2B3	ATR	
POLD1		DSG1	FGF8	
PTCH2		GJB4	FERMT3	
SASH1		CHRNG	CIITA	
SLC14A2		DLEC1	CUL4B	
SLC4A3		RNF6	KRT8	
TGM6		LZTS1	CYP2C9	
UGGT1		WWOX	SOST	
VPS8		ESR1	ZBTB24	
VWA3A		ETHE1	GBA2	
WDR36		EWSR1	CACNA1C	
ZFR2		CSTA	COL9A3	
ZNF208		COX4I2	IMPG2	
ZNF518B		EXT2	TMEM70	
ABCB11		LRP5	TREM2	
ABCC4		TSPAN12	TAP2	
CACNA1C		FZD4	PLCD1	
CENPJ		NDP	KRT16	
COL3A1		CASK	SCN1B	
DIP2B		GLA	TCAP	
EGFR		SPECC1L	APOC2	
EMR2		HOXB1	BICD2	
ENPP3		MCFD2	PRDM5	
GPR113		F5	LIPC	
IL16		F7	PDGFRA	
ITIH1		F10	ABCB6	
ITIH5		F11	IMPDH1	
KCNU1		F13A1	SLURP1	
KDR		F13B	GDF1	
KIAA0368		MEFV	MMADHC	
KIAA1210		NLRP12	IL12B	
KIF15		FANCA	SNRNP200	
KIF21A		FANCC	HAMP	
MAPK15		BRCA2	MCPH1	
MTOR		FANCD2	HINT1	
MYO1G		FANCE	PHKB	
NCAPD2		FANCF	MEF2C	
PARP10		FANCI	ZAP70	
PCDH12		FANCM	ROGDI	
PDE6A		PALB2	LCT	
PLA2G4D		RAD51C	SECISBP2	
PPFIBP2		SLX4	STIM1	
RBM19		ERCC4	ATP2A1	
TARBP1		SLC34A1	SLC19A3	
TBC1D8		SLC2A2	CLCN2	
TTLL3		ASAH1	VANGL2	
VWA2		SMCHD1	CERKL	
WDFY4		HADHA	KIF21A	
ZC3H3		G6PD	NEK1	
ZNF598		GPR98	ARMC4	
ALDH16A1		MYCN	GFM1	
ATAD5		GNRHR	GRHPR	
BMS1		DOK7	NEUROD1	
C5		RAPSN	KCNJ10	
DCST2		HBG1	BMPER	
DOCK3		COL11A1	H6PD	
EPHA2		ACVR1	ALX4	
FAN1		SOS1	OPN1LW	
HFM1		KIF21A	CEP41	
HKDC1		PHOX2A	ALG3	
KIAA0355		LCAT	ADCK3	
LGR6		PLA2G5	FZD6	
NEK10		KLKB1	GUCA1A	
NOD1		SRCAP	GHSR	
NUP210L		TSC1	C5orf42	
NYNRIN		PORCN	TMEM216	
PCNXL4		CYP26C1	XDH	
RBBP6		SLC46A1	GPSM2	
SHANK2		FSHB	KCNK3	
SMTN		TDGF1	MET	
SYNE3		FMR1	DARS	
TRPM8		SH3PXD2B	CRYGC	
UBAP2		FRAS1	PAPSS2	
USP40		FREM2	TEK	
WDR81		GRIP1	ALAD	
ZNF687		FXN	GNA11	
ZNF778		ALX3	DDHD2	
ANPEP		ALX4	HPS4	
C16orf62		ALX1	MYH2	
CARD6		ALDOB	GATA1	
CD101		FBP1	CSRP3	
CPS1		FUCA1	STRC	
DSG4		FUT6	CDHR1	
EHMT1		WNT7A	CDSN	
EXO1		FH	PHGDH	
FAM186B		RDH5	ITGA6	
JAKMIP3		ABAT	LAMC3	
KIAA0430		ANTXR1	GRM1	
LILRB1		GLB1	ALG11	
LOXL4		GM2A	TCTN3	
LPHN1		HEXA	FAM111A	
MDC1		GALK1	FAM126A	
MEGF10		GALE	IL17RD	
MTR		GALT	FMR1	
MYH10		CTSA	SP110	
NEO1		ABCG8	SH3BP2	
NLRP4		IRF1	RNF216	
NOS2		KLF6	AASS	
NRXN2		SDHC	RFT1	
PEAR1		KIT	LHX4	
PIWIL2		PDGFRA	CLDN14	
PKP4		GBA	CDT1	
PTPN14		ROBO3	AKR1D1	
SIDT1		ADAMTSL2	HDAC8	
SLIT2		KCNMA1	IL10RA	
SPATA20		KAT6B	VCAN	
TBCD		GORAB	HCN4	
TDRD1		GAN	TMIE	
TMEM8A		SLC12A3	VMA21	
TRAPPC11		SATB2	UPF3B	
VWA3B		NTF4	SIAE	
ZNF608		ASB10	NOD2	
ZNF721		WDR36	KRT12	
AARS2		MYOC	PTCHD1	
AHDC1		LTBP2	GJB4	
ATAD3B		CYP1B1	ARL6	
AXIN1		UMOD	CHSY1	
BRAT1		FN1	PROK2	
CAPN9		ACTN4	FLNC	
CDCA2		TRPC6	ANKS6	
CDHR3		CD2AP	RPSA	
EPB41L3		MYO1E	NTF4	
EPRS		MRAP	TNNI2	
EPX		NNT	LDHA	
GPATCH8		MC2R	GRIN2B	
IGF1R		SLC5A1	ANKRD11	
KDM5A		FTCD	GALNT12	
LCT		GLUL	PPIB	
LPHN2		ETFA	DFNB31	
NLRP14		ETFB	SERPINF2	
PALD1		ETFDH	ACTN2	
PLA2G6		GCDH	TOPORS	
PLEKHH1		GSS	TRPM4	
PNPLA6		GGT1	COQ6	
POP1		GK	ACADSB	
PPP6R2		GNMT	DNMT1	
SEMA5B		AMT	SBF2	
SOGA1		GCSH	NODAL	
SSH2		GLDC	LHX3	
STK10		GYS1	PEX3	
THSD4		GAA	COG5	
TMC3		AGL	CNTNAP2	
TSPEAR		GBE1	KCNA5	
TTLL4		G6PC	ACSF3	
UBN1		SLC37A4	VANGL1	
UBR5		PYGL	EYA4	
USP54		PFKM	CEP152	
WDR52		PGAM2	MAK	
WDR72		LDHA	B3GALNT2	
ABCB4		ALDOA	TSHB	
ACIN1		ENO3	PDHB	
AHI1		GYG1	PTH1R	
CCDC129		GYS2	MARVELD2	
CCDC157		PHKA2	MMP2	
CD97		PIGM	INPP5E	
COL6A5		ANO5	CXCR4	
CSF2RB		DICER1	SLC33A1	
ERCC5		KIAA1279	MTNR1B	
FAM160A2		FAM111A	LEP	
FBXW5		NCF4	RIPK4	
FKBP15		NBEAL2	RFXAP	
FRMD1		GLI3	TRAPPC9	
GPATCH1		MYO5A	TNXB	
HAUS6		RAB27A	TF	
MYO1E		MLPH	EFHC1	
MYPN		HESX1	IRS1	
PCDHA13		GH1	AGT	
PLEKHG5		GHRHR	DBH	
RALGDS		STAT5B	TPMT	
SLC26A4		IGF1	CRYBA1	
SLC26A9		FTO	PGM1	
TNRC6C		HOXA13	APOA2	
TPCN2		OAT	TALDO1	
ZFC3H1		PANK2	FOXRED1	
ZNF99		ABCA1	SMS	
ABI3BP		LBR	CUL3	
ACOX3		HMGCL	HRAS	
ASXL2		HMGCS2	NDUFAF1	
ATP8B2		HPRT1	SETBP1	
CC2D1B		ATP2C1	TGFB1	
CDH26		CTSC	TMEM5	
CKAP5		IRX5	TOR1A	
CLASP1		SLC6A19	NDE1	
COG1		FGFR1	SNAP29	
DIP2C		HPD	C4B	
ENAM		FLT4	C1S	
HECW2		KDR	ANGPTL4	
ITIH4		HMOX1	STAT5B	
KIAA1024		HFE	NRGN	
KIAA1432		HAMP	SLC24A1	
MFSD12		TFR2	SLC35D1	
MYO6		SLC40A1	NR0B2	
NCOA3		AK1	SLC35C1	
NPAT		GCLC	ALDH1A3	
NRCAM		GPX1	MASP1	
PCDHA1		GSR	LRAT	
PCDHA11		HK1	BAAT	
PPP1R12B		PFKL	SCN3B	
PRTG		TPI1	PVRL1	
PSG6		CD59	CHRDL1	
RERE		GPI	RFX5	
SEC16B		PRF1	CDK5RAP2	
SEC31A		UNC13D	MUSK	
SLC38A8		STX11	EPHA2	
TBC1D2		STXBP2	LRTOMT	
TRPM7		F8	PLN	
TTBK2		F9	NDUFS8	
UHRF1BP1L		JAM3	PGAP2	
VIL1		CCBE1	TNFRSF11B	
WDR7		LIPC	FANCL	
ASPH		SP110	TMEM237	
CACNA1A		MET	FOLR1	
CC2D1A		CASP8	C4A	
CCDC18		IGF2R	RD3	
CLMN		HPS1	ALG12	
DDX11		AP3B1	OGG1	
DICER1		HPS3	DLG3	
EGF		HPS4	TMC8	
EMR1		HPS5	MPO	
EPB41L2		HPS6	CNNM4	
