Background	FLAGS	OMIM	HGMD	WES
ABCA1		ATP2A1	MYH9	
ABCA9		SCNN1B	PHOX2B	
MADD		SCNN1A	INF2	
SPEF2		SCNN1G	DBT	
TRPM1		CYLD	ADA	
WDR62		SLC52A3	ATP6V0A4	
ATP10A		SLC52A2	AQP2	
CACNA1G		PLOD2	AHI1	
COL16A1		GPD1L	TRAPPC2	
FARP2		CACNA1C	CYB5R3	
NID2		CACNB2	HFE2	
PARP4		KCNE3	SOX2	
PLCE1		SCN3B	CCM2	
WNK1		HCN4	TCF12	
ZNF142		MAOA	NPHP4	
ABCC11		MYC	RPL5	
AKAP12		LEMD3	ENPP1	
ARHGEF11		CD96	SCN9A	
CAD		C1QA	DCLRE1C	
COL14A1		C1QB	HBA1	
DNAJC13		C1QC	BBS12	
LRRIQ1		C1R	C3	
NLRP5		C1S	NEU1	
NOTCH2		C2	SLC16A2	
PLXNA4		C3	ARX	
PLXND1		C4B	HADHB	
SCN11A		C5	NCF2	
SYNM		C6	DSG2	
TANC1		C7	TMC1	
TIMELESS		C8A	PDCD10	
ADAMTS14		C8B	COL6A1	
ADAMTS18		C9	EIF2B5	
CASZ1		TPM3	CLDN16	
DHX57		HTRA1	PCDH15	
GLI2		IRF8	GUSB	
JMJD1C		CD8A	GJC2	
LRP4		CHD7	FZD4	
NINL		SEMA3E	OAT	
NPC1L1		NSDHL	ATP1A3	
PCNXL3		PIGL	GAN	
RAI1		NLRP3	SCN4A	
TEX14		CC2D2A	TMPRSS6	
ARAP3		RPGRIP1L	EDNRB	
CREBBP		TMEM67	HBD	
DOCK10		MMP1	ACADS	
MSH6		CPT2	KRT14	
PLIN4		CPT1A	SPTB	
PLXNA2		CR1	RAG2	
SLC12A7		L1CAM	ALDH5A1	
ZNF462		COL1A1	C10orf2	
ADAMTS13		NT5E	MC2R	
ARHGEF28		PRG4	CCDC39	
BAZ2B		TGFB1	CNGB3	
BPTF		ASPA	BAP1	
CGNL1		CARD9	CDKN1C	
DENND4C		CLEC7A	JAK3	
SFI1		IL17RA	ACTA2	
SMG1		IL17F	MPL	
SPHKAP		STAT1	GP1BA	
ARAP1		GNAQ	HSD3B2	
DIP2A		CPS1	AICDA	
DOCK9		CES1	SGCB	
KMT2B		CPN1	NYX	
NSD1		SDHD	VDR	
PAPPA2		ANK2	POMT2	
PLA2R1		FLNA	SMARCA2	
PRR5-ARHGAP8		SCO2	ZEB1	
SCN5A		COX15	HSD11B2	
SEC31B		MAP2K1	TRPM6	
TULP4		MAP2K2	APOE	
ASXL3		LDB3	SLCO2A1	
CEP170B		LMNA	POLH	
CLTCL1		NEXN	GATA2	
DHX37		TNNT2	TGFBR1	
DYNC1H1		RBM20	NBEAL2	
IQGAP3		TNNI3	SEPN1	
KIAA1549L		TTN	CUBN	
MAP1B		SDHA	LMAN1	
MYO5C		BAG3	BCHE	
PHF3		CRYAB	SLC26A2	
PREX1		EYA4	APRT	
TENC1		LAMA4	SLC40A1	
TRAP1		MYPN	RDH5	
ADAMTS12		SGCD	GAMT	
AKNA		PRDM16	ALOX12B	
ANKHD1		CSRP3	NMNAT1	
ASH1L		MYBPC3	CLN5	
ATG2B		TCAP	QDPR	
CCDC88B		PLN	GLRA1	
CDHR2		MYH7	PDE6B	
DNMBP		TMPO	LAMC2	
ERCC6		VCL	FANCD2	
KIAA0922		FKTN	GALK1	
MYO1A		TPM1	MYO5B	
NID1		TNNC1	EFTUD2	
NLRC5		GATAD1	ARG1	
PIK3C2G		JPH2	DSPP	
UNC79		PRKAG2	OTX2	
A2ML1		MYL2	SDHC	
ARHGAP8		MYOZ2	CSF1R	
ATP10B		CALR3	MFSD8	
COL24A1		CAV3	AIPL1	
DNAH6		MYL3	HPS1	
HEATR5A		MYLK2	GBE1	
KIAA2018		MYH8	SLC25A20	
MICALL2		SLC22A5	BRAF	
MROH7		SLC25A20	SLC19A2	
OPLAH		PPARG	DSC2	
PER1		MEGF8	UROS	
PLEKHH2		RAB23	ACE	
PRRC2A		GJA8	RRM2B	
RGS12		CRYBA1	MITF	
TNRC18		BFSP2	WDR45	
USP6		GJA3	FGFR3	
XDH		MIP	PCSK9	
ADAMTSL4		CRYBB1	NPHP3	
ASXL1		FYCO1	MKKS	
C2orf71		LIM2	ANTXR2	
CEP152		CRYGC	SGCG	
CEP164		CRYGS	LGI1	
CORO7		CRYBB3	NPR2	
CORO7-PAM16		CRYBA4	IFNGR1	
EP300		CRYBB2	COL10A1	
EPHA8		VIM	F12	
LAMC1		CHMP4B	HSPG2	
LY75		BFSP1	XIAP	
PLEKHG2		TDRD7	CTSK	
PPAN		AGK	FKTN	
PPAN-P2RY11		CRYGB	SH3TC2	
RRBP1		CRYGD	POU3F4	
TCOF1		NHS	ISPD	
TLN1		HSF4	PEX7	
TRIP11		EPHA2	AMH	
ALK		CRYAA	TTN	
ANKHD1-EIF4EBP3		SLC16A12	TREX1	
ATP7B		MAF	CASK	
C2orf16		AXIN1	ATP6V1B1	
CTTNBP2		VANGL1	TK2	
HK3		LRP4	MOCS1	
KIAA1244		RYR1	HLCS	
LLGL2		GDNF	SLC39A4	
LONP1		ASCL1	POLR3A	
LPA		BDNF	DNM2	
MLLT4		EDN3	DARS2	
MYBPC3		RET	SQSTM1	
MYH2		RNF216	MMAB	
MYO1C		CA8	SERPINA1	
NLRP1		CP	BCOR	
NOD2		DNMT1	FUT1	
PFAS		WDR81	TRPM1	
SH3TC2		CAMTA1	C19orf12	
TENM1		VLDLR	CA2	
TP53BP1		CST3	MAT1A	
UGGT2		PRNP	NOG	
ABCA10		PDCD10	SCNN1A	
CD163L1		SLC6A8	DPYD	
CNGB1		GAMT	WDR62	
FHOD3		GATM	STAT1	
FRMPD1		SNAP29	INS	
KIAA1462		GAD1	CHEK2	
KIF14		KANK1	RPL11	
MCF2L		ERCC6	FAM20A	
NBEAL1		ERCC2	GK	
PLEKHG3		ERCC1	GJA8	
